country,year,greenhouse_gas_emissions,agricultural_land,methane_emissions,arable_land,agricultural_irrigated_land,forest_area,population_growth,urban_population,GDP
Australia,2020,,,,,,,,,
Australia,2019,585979.98046875,,,,,,,,
Australia,2018,617390.014648438,,,,,,,,
Australia,2017,623270.01953125,,,,,,,,
Australia,2016,574450.012207031,,,,,,,,
Australia,2015,596979.98046875,,,,,,,,
Australia,2014,597270.01953125,,,,,,,,
Australia,2013,580880.004882813,,,,,,,,
Australia,2012,667440.002441406,,,,,,,,
Australia,2011,668340.026855469,,,,,,,,
Australia,2010,566440.002441406,,,,,,,,
Australia,2009,593599.975585938,,,,,,,,
Australia,2008,578950.012207031,,,,,,,,
Australia,2007,606469.970703125,,,,,,,,
Australia,2006,603109.985351563,,,,,,,,
Australia,2005,560380.004882813,,,,,,,,
Australia,2004,597429.992675781,,,,,,,,
Australia,2003,539309.997558594,,,,,,,,
Australia,2002,619280.029296875,,,,,,,,
Australia,2001,624780.029296875,,,,,,,,
Australia,2000,596960.021972656,,,,,,,,
Australia,1999,572760.009765625,,,,,,,,
Australia,1998,536320.007324219,,,,,,,,
Australia,1997,507309.997558594,,,,,,,,
Australia,1996,500980.010986328,,,,,,,,
Australia,1995,503549.987792969,,,,,,,,
Australia,1994,495779.998779297,,,,,,,,
Australia,1993,489809.997558594,,,,,,,,
Australia,1992,487649.993896484,,,,,,,,
Australia,1991,486989.990234375,,,,,,,,
Australia,1990,487000.0,,,,,,,,
Azerbaijan,2020,,,,,,,,,
Azerbaijan,2019,54799.9992370605,,,,,,,,
Azerbaijan,2018,51689.998626709,,,,,,,,
Azerbaijan,2017,50240.0016784668,,,,,,,,
Azerbaijan,2016,50860.0006103516,,,,,,,,
Azerbaijan,2015,50520.0004577637,,,,,,,,
Azerbaijan,2014,50619.9989318848,,,,,,,,
Azerbaijan,2013,49259.9983215332,,,,,,,,
Azerbaijan,2012,48049.9992370605,,,,,,,,
Azerbaijan,2011,44840.0001525879,,,,,,,,
Azerbaijan,2010,42020.0004577637,,,,,,,,
Azerbaijan,2009,43130.0010681152,,,,,,,,
Azerbaijan,2008,47650.0015258789,,,,,,,,
Azerbaijan,2007,43290.0009155273,,,,,,,,
Azerbaijan,2006,44720.0012207031,,,,,,,,
Azerbaijan,2005,42869.9989318848,,,,,,,,
Azerbaijan,2004,40080.0018310547,,,,,,,,
Azerbaijan,2003,39939.998626709,,,,,,,,
Azerbaijan,2002,37250.0,,,,,,,,
Azerbaijan,2001,37189.998626709,,,,,,,,
Azerbaijan,2000,37740.0016784668,,,,,,,,
Azerbaijan,1999,36009.9983215332,,,,,,,,
Azerbaijan,1998,35790.0009155273,,,,,,,,
Azerbaijan,1997,35409.9998474121,,,,,,,,
Azerbaijan,1996,35909.9998474121,,,,,,,,
Azerbaijan,1995,41479.9995422363,,,,,,,,
Azerbaijan,1994,42369.9989318848,,,,,,,,
Azerbaijan,1993,61689.998626709,,,,,,,,
